IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
088813-12072021,12 Jul 2021,2021,23:45:24,23,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21501099,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,512350,171550,,,London,Twickenham,,,,,,,1,5,1760,1
088957-13072021,13 Jul 2021,2021,03:04:31,3,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Restaurant/cafe,Correct incident location,W4 1TH,W4,10093257495,21502481,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,521903,178641,521950,178650,51.49358704,-0.24539291,London,Chiswick,,,,,,,1,5,1760,1
089008-13072021,13 Jul 2021,2021,03:55:18,3,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Restaurant/cafe,Correct incident location,W4 1PU,W4,10091693508,21502481,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,521438,178563,521450,178550,51.49298678,-0.252113665,London,Chiswick,,,,,,,1,5,1760,1
089177-13072021,13 Jul 2021,2021,07:04:13,7,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,W4 3AD,W4,1.00024E+11,21501177,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,519418,178214,519450,178250,51.49027692,-0.281320266,London,Chiswick,189,Chiswick,345,Acton,2,2,2,1,352,1
089231-13072021,13 Jul 2021,2021,08:52:25,8,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W4,0,21590206,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,520350,177850,,,London,Chiswick,,,,,,,1,4,1408,1
089327-13072021,13 Jul 2021,2021,11:36:50,11,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21500226,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,520250,177950,,,London,Chiswick,,,,,1,1,1,2,704,1
089328-13072021,13 Jul 2021,2021,11:40:34,11,False Alarm,AFA,,Non Residential,Factory ,Within same building,TW4 6NF,TW4,1.00023E+11,21501423,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510690,176136,510650,176150,51.47336934,-0.407630786,London,Feltham,265,Feltham,,,1,1,1,1,352,1
089344-13072021,13 Jul 2021,2021,12:06:04,12,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Single shop ,Correct incident location,W4 1PD,W4,1.00023E+11,21502481,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520978,178519,520950,178550,51.4926854,-0.2587559,London,Chiswick,,,,,,,1,4,1408,1
089377-13072021,13 Jul 2021,2021,13:37:16,13,Special Service,Special Service,Hazardous Materials incident,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W4,0,21500354,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,,,521250,178350,,,London,Chiswick,502,Acton,,,1,1,1,1,352,1
089409-13072021,13 Jul 2021,2021,14:50:37,14,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21500226,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,520250,177950,,,London,Chiswick,,,,,,,1,3,1056,1
089410-13072021,13 Jul 2021,2021,14:51:22,14,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21500226,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,520250,177950,,,London,Chiswick,,,,,,,1,2,704,1
089420-13072021,13 Jul 2021,2021,15:21:46,15,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,TW14,0,21500631,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,,,510950,174150,,,London,Feltham,232,Feltham,451,Twickenham,2,2,2,3,1056,1
089431-13072021,13 Jul 2021,2021,15:46:40,15,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21500226,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,520250,177950,,,London,Chiswick,,,,,,,1,1,352,1
089464-13072021,13 Jul 2021,2021,16:42:19,16,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,TW13 4TE,TW13,2.00004E+11,21590175,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,509499,172776,509450,172750,51.44340682,-0.425808479,London,Feltham,610,Twickenham,,,1,1,1,1,352,1
089591-13072021,13 Jul 2021,2021,19:04:05,19,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW7,0,21501798,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,,,515750,176450,,,London,Heston,268,Heston,,,1,1,1,1,352,1
089640-13072021,13 Jul 2021,2021,20:29:04,20,Fire,Secondary Fire,,Outdoor,Scrub land ,Open land/water - nearest gazetteer location,TW8 8JW,TW8,10025575747,21519757,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,517180,177304,517150,177350,51.48256485,-0.313844534,London,Heston,622,Heston,,,1,1,1,1,352,1
089693-13072021,13 Jul 2021,2021,21:40:31,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W5,0,20602411,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,,,518050,179150,,,London,Acton,239,Acton,367,Chiswick,2,2,2,1,352,1
089824-14072021,14 Jul 2021,2021,05:45:57,5,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,TW13,0,21500560,E09000018,HOUNSLOW,Hounslow,E05013615,Hanworth Park,Hanworth Park,,,511150,173250,,,London,Feltham,224,Feltham,229,Feltham,1,2,2,1,352,1
089896-14072021,14 Jul 2021,2021,09:49:33,9,False Alarm,AFA,,Non Residential,Other retail warehouse ,Correct incident location,TW3 3FW,TW3,10091689773,21510540,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,512993,175409,512950,175450,51.4663801,-0.3747137,London,Heston,308,Heston,,,1,1,1,1,352,1
090297-15072021,15 Jul 2021,2021,00:13:34,0,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,TW3,0,21500172,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,,,513450,175850,,,London,Heston,454,Heston,469,Heston,1,2,2,2,704,1
090452-15072021,15 Jul 2021,2021,10:28:40,10,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,TW5 0HA,TW5,1.00022E+11,21501213,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,513074,177906,513050,177950,51.48881341,-0.372756161,London,Heston,358,Heston,361,Heston,1,2,2,1,352,1
090502-15072021,15 Jul 2021,2021,11:58:54,11,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,TW5 0HA,TW5,1.00022E+11,21501213,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,513072,177909,513050,177950,51.48883439,-0.372777761,London,Heston,1022,Southall,,,1,1,1,1,352,1
090566-15072021,15 Jul 2021,2021,13:39:44,13,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,W4 5TT,W4,1.00023E+11,21502481,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520318,178538,520350,178550,51.4929987,-0.2682545,London,Chiswick,554,Heston,,,1,1,1,1,352,1
090602-15072021,15 Jul 2021,2021,14:33:56,14,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21500045,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,,,515050,174650,,,London,Heston,873,Chiswick,,,1,1,1,1,352,1
090678-15072021,15 Jul 2021,2021,17:03:26,17,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,TW14,0,21501381,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,,,510750,174150,,,London,Feltham,184,Feltham,576,Twickenham,3,3,3,1,352,1
090716-15072021,15 Jul 2021,2021,18:24:44,18,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW7,0,21519703,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,515350,177050,,,London,Heston,383,Heston,494,Chiswick,2,2,2,1,352,1
090857-15072021,15 Jul 2021,2021,22:14:17,22,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW7,0,21501326,E09000018,HOUNSLOW,Hounslow,E05013625,Isleworth,Isleworth,,,515950,174450,,,London,Heston,360,Richmond,385,Heston,3,3,3,1,352,2
091016-16072021,16 Jul 2021,2021,10:21:43,10,False Alarm,False alarm - Good intent,,Outdoor Structure,Barbecue,Correct incident location,TW13 7BL,TW13,1.00022E+11,21500442,E09000018,HOUNSLOW,Hounslow,E05013615,Hanworth Park,Hanworth Park,510992,171902,510950,171950,51.43526081,-0.404608895,London,Feltham,323,Feltham,,,1,1,1,1,352,2
091047-16072021,16 Jul 2021,2021,12:00:29,12,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,TW5 9UX,TW5,1.00022E+11,21500083,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,511057,176564,511050,176550,51.47714839,-0.402207121,London,Feltham,404,Feltham,,,1,1,1,1,352,1
091093-16072021,16 Jul 2021,2021,13:56:33,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,TW14,0,21501381,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,,,510750,174150,,,London,Feltham,385,Feltham,489,Heston,3,3,3,1,352,1
091235-16072021,16 Jul 2021,2021,17:43:14,17,Special Service,Special Service,Assist other agencies,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W4,0,21500038,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,,,521250,178450,,,London,Chiswick,439,Hammersmith,872,Chiswick,2,2,2,3,1056,1
091268-16072021,16 Jul 2021,2021,18:30:36,18,Special Service,Special Service,Lift Release,Non Residential,Purpose built office ,Within same building,W4 5YA,W4,2.00004E+11,21502481,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,519801,178707,519850,178750,51.494624,-0.275628,London,Chiswick,449,Acton,,,1,1,1,1,352,1
091468-17072021,17 Jul 2021,2021,02:59:47,2,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,TW5,0,21501484,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,,,513550,176850,,,London,Heston,293,Heston,488,Feltham,2,2,2,1,352,2
091502-17072021,17 Jul 2021,2021,07:30:04,7,False Alarm,AFA,,Non Residential,Single shop ,Within same building,TW3 1BL,TW3,2.00004E+11,21500610,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,513911,175688,513950,175650,51.4687038,-0.3614232,London,Heston,238,Heston,,,1,1,1,1,352,1
091545-17072021,17 Jul 2021,2021,09:36:40,9,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21500988,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,519950,177850,,,London,Chiswick,303,Chiswick,,,1,1,1,1,352,1
091566-17072021,17 Jul 2021,2021,10:46:07,10,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,TW3 1EA,TW3,1.00024E+11,21500610,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,513728,175649,513750,175650,51.4683977,-0.364063491,London,Heston,343,Heston,,,1,1,1,1,352,2
091624-17072021,17 Jul 2021,2021,12:20:45,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW4,0,21501254,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,,,513250,174450,,,London,Heston,326,Heston,353,Feltham,2,2,2,1,352,1
091724-17072021,17 Jul 2021,2021,15:17:21,15,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,TW14 9ED,TW14,1.00022E+11,21501054,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,510355,174295,510350,174250,51.45689182,-0.413028318,London,Feltham,181,Feltham,,,1,1,1,1,352,1
091737-17072021,17 Jul 2021,2021,15:46:17,15,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,TW8,0,21500506,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518650,178050,,,London,Chiswick,,,,,1,1,2,2,704,1
091753-17072021,17 Jul 2021,2021,16:28:47,16,False Alarm,AFA,,Other Residential,Hotel/motel ,Within same building,TW5 9NA,TW5,1.00023E+11,21519749,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,512026,177848,512050,177850,51.4884995,-0.3878516,London,Southall,676,Hayes,,,1,1,1,1,352,1
091841-17072021,17 Jul 2021,2021,19:41:09,19,False Alarm,AFA,,Non Residential,Warehouse ,Correct incident location,TW15 1AX,TW15,1.00023E+11,21501366,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,508444,172173,508450,172150,51.43818915,-0.441171297,London,Feltham,547,Feltham,,,1,1,1,1,352,1
091876-17072021,17 Jul 2021,2021,20:39:50,20,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,TW8,0,21500506,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518450,178150,,,London,Chiswick,277,Chiswick,,,1,1,1,1,352,1
091913-17072021,17 Jul 2021,2021,21:52:53,21,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),On land associated with building,TW8 8NT,TW8,10091690870,21500579,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,516868,177130,516850,177150,51.48106995,-0.3183875,London,Heston,464,Acton,,,1,1,1,1,352,1
091969-17072021,17 Jul 2021,2021,23:18:42,23,Special Service,Special Service,Making Safe (not RTC),Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21500945,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,512550,171750,,,London,Twickenham,659,Twickenham,,,1,1,1,3,1056,1
092076-18072021,18 Jul 2021,2021,03:44:08,3,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,TW3,0,21501066,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,,,513650,175050,,,London,Heston,540,Heston,766,Feltham,2,2,2,3,1056,5
092227-18072021,18 Jul 2021,2021,11:35:31,11,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,TW7 4HF,TW7,1.00022E+11,21501062,E09000018,HOUNSLOW,Hounslow,E05013621,Hounslow East,Hounslow East,514885,176209,514850,176250,51.4731933,-0.3472332,London,Heston,149,Heston,447,Feltham,2,2,2,1,352,1
092276-18072021,18 Jul 2021,2021,13:17:53,13,Special Service,Special Service,Medical Incident,Outdoor,Road surface/pavement ,In street outside gazetteer location,W4 4LQ,W4,10091691792,21501177,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520211,178296,520250,178250,51.49084465,-0.269868777,London,Chiswick,,,,,,,1,1,352,1
092323-18072021,18 Jul 2021,2021,14:58:52,14,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,W4 5RP,W4,10025309945,21502481,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,519839,178505,519850,178550,51.492808,-0.275163,London,Chiswick,270,Acton,,,1,1,1,1,352,1
092369-18072021,18 Jul 2021,2021,15:58:52,15,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21500945,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,512650,171750,,,London,Twickenham,234,Twickenham,,,1,1,1,1,352,1
092476-18072021,18 Jul 2021,2021,19:04:16,19,Fire,Secondary Fire,,Outdoor,Railway trackside vegetation ,On land associated with building,TW3 3DH,TW3,1.00023E+11,21500083,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,512204,176191,512250,176150,51.47357332,-0.385814694,London,Feltham,393,Heston,465,Twickenham,3,3,3,2,704,1
092585-18072021,18 Jul 2021,2021,22:19:07,22,False Alarm,False alarm - Good intent,,Outdoor,Other outdoor location ,On land associated with building,TW14 0ND,TW14,1.00022E+11,21500575,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,510227,175101,510250,175150,51.46416391,-0.414608772,London,Feltham,516,Heston,526,Heathrow,2,2,2,1,352,1
092633-19072021,19 Jul 2021,2021,00:05:36,0,False Alarm,False alarm - Good intent,,Outdoor,Loose refuse ,On land associated with building,TW3 2NS,TW3,1.00022E+11,21500586,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,514571,175313,514550,175350,51.46520898,-0.352044018,London,Heston,283,Heston,,,1,1,1,1,352,2
092668-19072021,19 Jul 2021,2021,01:42:32,1,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,UB2,0,21500797,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,,,512250,178450,,,London,Southall,437,Heston,443,Southall,2,2,2,1,352,1
092675-19072021,19 Jul 2021,2021,02:21:33,2,False Alarm,AFA,,Non Residential,Police station ,Within same building,TW3 1LB,TW3,1.00023E+11,21500771,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,513709,175729,513750,175750,51.46911768,-0.36431601,London,Heston,239,Heston,,,1,1,1,1,352,1
092703-19072021,19 Jul 2021,2021,05:19:14,5,Fire,Primary Fire,,Non Residential,Recycling plant,Within same building,TW8 9HF,TW8,1.00023E+11,21501130,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,516434,178021,516450,178050,51.48915933,-0.324334583,London,Heston,320,Heston,,,1,1,1,1,352,1
092708-19072021,19 Jul 2021,2021,05:51:18,5,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W4 5RP,W4,1.00023E+11,21502481,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,519826,178484,519850,178450,51.4926158,-0.2753479,London,Chiswick,213,Chiswick,,,1,1,1,1,352,1
092710-19072021,19 Jul 2021,2021,06:03:42,6,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW7,0,21501225,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,515550,177250,,,London,Heston,259,Heston,,,1,1,1,1,352,1
092724-19072021,19 Jul 2021,2021,07:19:26,7,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,TW3,0,21500323,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,,,513150,175050,,,London,Heston,328,Heston,470,Twickenham,2,2,2,1,352,2
092833-19072021,19 Jul 2021,2021,12:10:57,12,Special Service,Special Service,RTC,Road Vehicle,Car ,On land associated with building,TW3 3LZ,TW3,10025164760,21510540,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,513470,175512,513450,175550,51.46721737,-0.367821394,London,Heston,350,Heston,930,Southall,2,2,2,5,1760,1
092904-19072021,19 Jul 2021,2021,15:08:50,15,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21500700,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,515350,177550,,,London,Heston,639,Heston,696,Chiswick,2,2,2,1,352,1
092911-19072021,19 Jul 2021,2021,15:13:38,15,Special Service,Special Service,Hazardous Materials incident,Outdoor,Road surface/pavement ,In street outside gazetteer location,TW13 7EF,TW13,2.00004E+11,21500167,E09000018,HOUNSLOW,Hounslow,E05013615,Hanworth Park,Hanworth Park,511189,172926,511150,172950,51.44442687,-0.401454785,London,Feltham,240,Feltham,,,1,1,1,2,704,1
092937-19072021,19 Jul 2021,2021,16:23:41,16,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,TW3 3LZ,TW3,10091690634,21510540,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,513456,175537,513450,175550,51.46744011,-0.368016221,London,Heston,295,Heston,468,Twickenham,2,2,2,1,352,1
092967-19072021,19 Jul 2021,2021,17:05:28,17,False Alarm,AFA,,Non Residential,Manufacturing assembly plant,Correct incident location,TW13 6EH,TW13,10091693616,21500550,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,512316,172167,512350,172150,51.43737832,-0.385482843,London,Feltham,259,Twickenham,,,1,1,1,1,352,1
093021-19072021,19 Jul 2021,2021,18:30:56,18,Fire,Primary Fire,,Road Vehicle,Van ,In street outside gazetteer location,TW4 6HN,TW4,1.00022E+11,21500243,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510978,175969,510950,175950,51.47181431,-0.403536413,London,Feltham,273,Feltham,,,1,1,1,1,352,3
093127-19072021,19 Jul 2021,2021,21:38:21,21,False Alarm,False alarm - Good intent,,Outdoor,Loose refuse ,Nearby address - street not listed in gazetteer,TW7 7JF,TW7,1.00022E+11,21501233,E09000018,HOUNSLOW,Hounslow,E05013625,Isleworth,Isleworth,516037,174896,516050,174850,51.46115367,-0.33107532,London,Heston,247,Heston,290,Heston,1,2,2,1,352,1
093133-19072021,19 Jul 2021,2021,21:43:15,21,Special Service,Special Service,Lift Release,Non Residential,Mosque ,Correct incident location,UB2 5NS,UB2,2.00004E+11,21500580,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,511268,178815,511250,178850,51.49733644,-0.398468935,London,Southall,,,,,1,1,1,1,352,1
093185-19072021,19 Jul 2021,2021,23:17:14,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW3,0,21501427,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,,,513450,176250,,,London,Heston,268,Heston,343,Heston,1,2,2,1,352,1
093220-20072021,20 Jul 2021,2021,00:49:58,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW8,0,21500358,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518350,177950,,,London,Chiswick,349,Chiswick,374,Heston,2,2,2,1,352,1
093228-20072021,20 Jul 2021,2021,01:10:45,1,Special Service,Special Service,Hazardous Materials incident,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW8,0,21500358,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518350,177950,,,London,Chiswick,217,Chiswick,,,1,1,1,1,352,1
093251-20072021,20 Jul 2021,2021,02:00:22,2,Fire,Primary Fire,,Non Residential,Other private non-residential building ,Within same building,,TW7,0,21501238,E09000018,HOUNSLOW,Hounslow,E05013621,Hounslow East,Hounslow East,,,514750,176450,,,London,Heston,178,Heston,201,Heston,1,2,4,8,2816,2
093253-20072021,20 Jul 2021,2021,02:18:03,2,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW3,0,21501115,E09000018,HOUNSLOW,Hounslow,E05013621,Hounslow East,Hounslow East,,,514050,176450,,,London,Heston,491,Feltham,,,1,2,2,1,352,1
093256-20072021,20 Jul 2021,2021,02:45:15,2,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW4,0,21500065,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,,,512750,174650,,,London,Feltham,354,Feltham,466,Twickenham,2,2,2,1,352,1
093284-20072021,20 Jul 2021,2021,04:55:17,4,Special Service,Special Service,RTC,Dwelling,House - single occupancy ,Correct incident location,,W5,0,20602411,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,,,518450,179450,,,London,Acton,218,Acton,330,Ealing,2,2,2,2,704,1
093301-20072021,20 Jul 2021,2021,06:30:25,6,False Alarm,AFA,,Non Residential,Department Store ,Within same building,TW3 1BL,TW3,2.00004E+11,21500610,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,513911,175688,513950,175650,51.4687058,-0.361416618,London,Heston,296,Heston,,,1,1,1,1,352,1
093303-20072021,20 Jul 2021,2021,06:35:13,6,False Alarm,AFA,,Non Residential,Secondary school,Within same building,TW5 0NB,TW5,2.00004E+11,21501187,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,512893,177273,512850,177250,51.48315482,-0.375556016,London,Heston,367,Heston,,,1,1,1,1,352,2
093376-20072021,20 Jul 2021,2021,10:38:17,10,False Alarm,AFA,,Non Residential,TV/film/music/art studio ,Within same building,TW7 5QD,TW7,10093258518,21501550,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,516097,177816,516050,177850,51.48738972,-0.329263906,London,Heston,299,Heston,,,1,1,1,1,352,1
093399-20072021,20 Jul 2021,2021,11:48:13,11,False Alarm,False alarm - Good intent,,Non Residential,Mosque ,Correct incident location,TW14 0AX,TW14,1.00023E+11,21500631,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,510977,173981,510950,173950,51.4539435,-0.4041722,London,Feltham,173,Feltham,,,1,1,1,1,352,1
093405-20072021,20 Jul 2021,2021,12:02:58,12,False Alarm,AFA,,Non Residential,DIY Warehouse ,Correct incident location,TW4 6BH,TW4,10091693013,21501272,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,511323,174916,511350,174950,51.4622852,-0.3988958,London,Feltham,251,Feltham,,,1,1,1,1,352,1
